-11336.6,8.55546e-005,-6.23527e-005
-11333.8,-3.15096e-005,-3.20967e-005
-11331,8.51866e-005,5.92998e-005
-11328.3,5.87014e-005,9.41247e-005
-11325.5,-1.24099e-005,-4.37229e-005
-11322.7,6.54495e-005,2.68974e-005
-11320,-3.06128e-005,4.3688e-005
-11317.2,-6.42261e-005,-1.59927e-005
-11314.4,3.46251e-005,2.17069e-006
-11311.6,-3.09107e-005,-5.27571e-005
-11308.9,1.63022e-005,1.73628e-005
-11306.1,-1.9208e-005,4.00316e-005
-11303.3,0.000144371,4.4032e-005
-11300.6,-2.75965e-005,-9.24216e-005
-11297.8,4.97006e-005,8.17227e-005
-11295,-0.000127039,-5.15795e-006
-11292.3,-6.78641e-006,3.10192e-005
-11289.5,1.29222e-005,4.70226e-005
-11286.7,2.49992e-005,3.24703e-005
-11284,-1.66216e-005,-8.73751e-005
-11281.2,-3.9658e-005,8.72619e-006
-11278.4,5.93612e-005,7.26429e-005
-11275.6,1.98969e-007,3.42302e-005
-11272.9,3.55183e-005,-9.16063e-005
-11270.1,-2.70246e-006,6.18404e-005
-11267.3,-3.57827e-005,6.798e-005
-11264.6,2.59073e-005,5.36984e-005
-11261.8,3.01644e-005,3.32293e-005
-11259,-8.53651e-005,-2.30079e-005
-11256.3,0.000113698,-9.71649e-005
-11253.5,-7.13297e-006,-7.41783e-005
-11250.7,5.57401e-005,8.99137e-006
-11248,-1.24937e-006,-6.48257e-005
-11245.2,-1.31055e-005,-5.99481e-005
-11242.4,5.68209e-005,-1.48641e-005
-11239.6,-2.521e-005,2.22884e-005
-11236.9,-5.11191e-005,-1.34435e-005
-11234.1,-7.89342e-006,-4.15072e-005
-11231.3,6.60621e-005,2.41604e-006
-11228.6,-5.95123e-006,0.000120591
-11225.8,9.2023e-005,-0.000109122
-11223,-1.80999e-005,-6.66813e-005
-11220.3,4.50898e-005,5.38512e-005
-11217.5,-5.19472e-006,-8.64619e-006
-11214.7,-6.91336e-005,5.49279e-005
-11212,2.29976e-005,-8.15071e-007
-11209.2,0.000103741,7.00909e-005
-11206.4,6.2317e-005,8.62636e-005
-11203.6,-1.88017e-005,-5.12107e-006
-11200.9,5.99186e-005,2.14759e-005
-11198.1,-2.0185e-005,-6.57962e-005
-11195.3,-0.000154795,-5.95435e-005
-11192.6,4.38042e-005,-0.000160683
-11189.8,2.82343e-005,-3.09949e-007
-11187,0.000163363,-7.33082e-005
-11184.3,5.89954e-005,5.78364e-005
-11181.5,-5.78773e-006,-2.50358e-005
-11178.7,-3.0032e-005,-8.11607e-005
-11176,1.7692e-005,2.99981e-005
-11173.2,4.2014e-005,3.64343e-005
-11170.4,3.16183e-005,3.39662e-005
-11167.6,-1.49906e-005,1.43061e-005
-11164.9,2.31937e-005,-3.24755e-005
-11162.1,-2.98349e-005,-1.15272e-006
-11159.3,-4.95782e-005,1.85081e-005
-11156.6,-0.00013681,6.55203e-006
-11153.8,-2.56431e-005,-9.10455e-006
-11151,9.16218e-005,-2.80596e-005
-11148.3,5.35188e-005,4.03153e-005
-11145.5,7.91703e-005,2.44626e-005
-11142.7,-3.57868e-005,-1.61722e-005
-11140,3.03464e-005,4.79169e-005
-11137.2,2.42281e-005,5.92654e-005
